Benchmark,ALU Reuse %,Load Reuse %,Trivial %,Genetic Predictor Accuracy %,Value Predictor Accuracy %
blackscholes,0.71,13.31,53.59,7.89474,26.4834
bodytrack,0.58,12.72,48.01,49.3113,38.9483
canneal,0.60,15.42,45.87,64.9378,36.11
dedup,0.01,13.29,63.74,2.63158,2.48488
facesim,0.45,16.40,42.64,51.8553,41.4699
ferret,0.77,13.94,53.47,6.52174,27.1277
fluidanimate,0.71,11.53,47.75,57.9114,39.4272
streamcluster,0.74,12.42,47.31,42.6667,40.5782
swaptions,0.68,12.65,47.10,58.1498,43.7249
vips,0.68,14.99,49.25,59.2683,35.4777
